0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
190,AR_61.JPG,10/22/2023,Arabkir,Vahram Papazyan street,no valve,2,No secondary purpose,Unknown,Inga Avetisyan
191,AR_62.JPG,10/22/2023,Arabkir,Hamo Sahyan,no valve,"2.4, 3.78, 3.64",No secondary purpose,Unknown,Inga Avetisyan
192,AR_63.JPG,10/22/2023,Arabkir,Vahram Papazyan street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
193,AR_64.JPG,10/22/2023,Arabkir,Hovsep Emin Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
194,AR_65.JPG,10/22/2023,Arabkir,Vahram Papazyan street,no valve,2.55,No secondary purpose,Unknown,Inga Avetisyan
195,AR_66.JPG,10/26/2023,Arabkir,Avet Avetisyan Street,no valve,4.5,No secondary purpose,Unknown,Inga Avetisyan
196,AR_67.JPG,10/26/2023,Arabkir,Sundukyan Street,no valve,1.2,No secondary purpose,2020,Inga Avetisyan
197,AR_68.JPG,10/26/2023,Arabkir,Sundukyan Street,no valve,2.33,No secondary purpose,Unknown,Inga Avetisyan
198,AR_69.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,no valve,3,No secondary purpose,Unknown,Inga Avetisyan
199,AR_7.JPG,9/30/2023,Arabkir,Kievyan 1st Lane,no valve,7,No secondary purpose,Unknown,Inga Avetisyan
200,AR_70.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,no valve,4.7,No secondary purpose,Unknown,Inga Avetisyan
201,AR_71.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,no valve,4.3,No secondary purpose,Unknown,Inga Avetisyan
202,AR_72.JPG,10/26/2023,Arabkir,Grigor Artsrunu Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
203,AR_73.JPG,10/26/2023,Arabkir,Grigor Artsrunu Street,no valve,1.2,No secondary purpose,Unknown,Inga Avetisyan
204,AR_74.JPG,10/26/2023,Arabkir,Vagharsh Vagharshyan Street,no valve,8.8,No secondary purpose,Unknown,Inga Avetisyan
205,AR_75.JPG,10/26/2023,Arabkir,Komitas Avenue,no valve,Very low,No secondary purpose,Unknown,Inga Avetisyan
206,AR_76.JPG,10/26/2023,Arabkir,Komitas Avenue,with valve,,No secondary purpose,Unknown,Inga Avetisyan
207,AR_77.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
208,AR_78.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
209,AR_79.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
210,AR_8.JPG,9/30/2023,Arabkir,Kievyan Street,no valve,6.6,No secondary purpose,1986,Inga Avetisyan
211,AR_80.JPG,10/26/2023,Arabkir,Sundukyan Street,no valve,5.38,No secondary purpose,Unknown,Inga Avetisyan
212,AR_81.JPG,10/26/2023,Arabkir,Marshal Baghramyan Street,no valve,5.23,No secondary purpose,Unknown,Inga Avetisyan
